case_id,trial_verdict,appeal_outcome
CASE_00454,Murder,UPHELD
CASE_00455,Not Guilty,RETRIAL
CASE_00456,Murder,RETRIAL
CASE_00457,Murder,UPHELD
CASE_00458,Unknown,UNKNOWN
CASE_00459,Manslaughter,SENTENCE
CASE_00460,Unknown,SENTENCE
CASE_00461,Manslaughter,UPHELD
CASE_00462,Manslaughter,SENTENCE
CASE_00463,Murder,UPHELD
CASE_00464,Murder,UPHELD
CASE_00465,Murder,UPHELD
CASE_00466,Murder,UPHELD
CASE_00467,Murder,QUASHED
CASE_00468,Murder,UPHELD
CASE_00469,Murder,UPHELD
CASE_00470,Unknown,UNKNOWN
CASE_00471,Murder,UPHELD
CASE_00472,Not Guilty,UPHELD
CASE_00473,Murder,SENTENCE
CASE_00474,Murder,UPHELD
CASE_00475,Unknown,UNKNOWN
CASE_00476,Murder,UPHELD
CASE_00477,Murder,UPHELD
CASE_00478,Murder,UNKNOWN
CASE_00479,Murder,UPHELD
CASE_00480,Murder,UPHELD
CASE_00481,Unknown,SENTENCE
CASE_00482,Manslaughter,UPHELD
CASE_00483,Murder,UPHELD
CASE_00484,Murder,UPHELD
CASE_00485,Murder,SENTENCE
CASE_00486,Murder,REDUCED
CASE_00487,Not Guilty,UPHELD
CASE_00488,Murder,SENTENCE
CASE_00489,Murder,SENTENCE
CASE_00490,Murder,UPHELD
CASE_00491,Murder,SENTENCE
CASE_00492,Murder,UPHELD
CASE_00493,Manslaughter,UPHELD
CASE_00494,Manslaughter,SENTENCE
CASE_00495,Unknown,SENTENCE
CASE_00496,Murder,SENTENCE
CASE_00497,Murder,UNKNOWN
CASE_00498,Murder,UPHELD
CASE_00499,Unknown,UNKNOWN
CASE_00500,Murder,UPHELD
CASE_00501,Murder,RETRIAL
CASE_00502,Murder,UPHELD
CASE_00503,Murder,REDUCED
CASE_00504,Murder,QUASHED
CASE_00505,Murder,UPHELD
CASE_00506,Murder,UPHELD
CASE_00507,Not Guilty,SENTENCE
CASE_00508,Murder,UPHELD
CASE_00509,Unknown,UNKNOWN
CASE_00510,Manslaughter,UPHELD
CASE_00511,Murder,UNKNOWN
CASE_00512,Unknown,UNKNOWN
CASE_00513,Murder,UPHELD
CASE_00514,Murder,SENTENCE
CASE_00515,Murder,UPHELD
CASE_00516,Manslaughter,UPHELD
CASE_00517,Murder,UPHELD
CASE_00518,Murder,UPHELD
CASE_00519,Murder,QUASHED
CASE_00520,Murder,UPHELD
CASE_00521,Murder,UPHELD
CASE_00522,Murder,UPHELD
CASE_00523,Murder,UPHELD
CASE_00524,Murder,UPHELD
CASE_00525,Murder,SENTENCE
CASE_00526,Murder,UPHELD
CASE_00527,Unknown,UPHELD
CASE_00528,Not Guilty,SENTENCE
CASE_00529,Murder,SENTENCE
CASE_00530,Unknown,RETRIAL
CASE_00531,Manslaughter,SENTENCE
CASE_00532,Murder,QUASHED
CASE_00533,Unknown,SENTENCE
CASE_00534,Murder,UPHELD
CASE_00535,Murder,QUASHED
CASE_00536,Manslaughter,SENTENCE
CASE_00537,Unknown,SENTENCE
CASE_00538,Murder,UPHELD
CASE_00539,Murder,SENTENCE
CASE_00540,Murder,UPHELD
CASE_00541,Murder,UPHELD
CASE_00542,Unknown,UNKNOWN
CASE_00543,Murder,UPHELD
CASE_00544,Unknown,UNKNOWN
CASE_00545,Murder,UPHELD
CASE_00546,Murder,UPHELD
CASE_00547,Murder,UPHELD
CASE_00548,Murder,UPHELD
CASE_00549,Murder,QUASHED
CASE_00550,Unknown,UNKNOWN
CASE_00551,Murder,UPHELD
CASE_00552,Murder,REDUCED
CASE_00553,Unknown,UNKNOWN
CASE_00554,Murder,QUASHED
CASE_00555,Murder,QUASHED
CASE_00556,Murder,UPHELD
CASE_00557,Murder,REDUCED
CASE_00558,Murder,UPHELD
CASE_00559,Not Guilty,UNKNOWN
CASE_00560,Murder,UPHELD
CASE_00561,Murder,SENTENCE
CASE_00562,Murder,UPHELD
CASE_00563,Murder,UPHELD
CASE_00564,Murder,UPHELD
CASE_00565,Unknown,SENTENCE
CASE_00566,Unknown,UNKNOWN
CASE_00567,Not Guilty,UPHELD
CASE_00568,Murder,UPHELD
CASE_00250,Unknown,SENTENCE
CASE_00252,Unknown,SENTENCE
CASE_00256,Murder,UPHELD
CASE_00257,Unknown,UNKNOWN
CASE_00259,Unknown,SENTENCE
CASE_00569,Unknown,UNKNOWN
CASE_00570,Murder,UPHELD
CASE_00571,Unknown,UNKNOWN
CASE_00572,Murder,UPHELD
CASE_00573,Murder,UPHELD
CASE_00574,Murder,REDUCED
CASE_00575,Murder,REDUCED
CASE_00576,Murder,REDUCED
CASE_00577,Murder,REDUCED
CASE_00578,Murder,UNKNOWN
CASE_00579,Murder,REDUCED
CASE_00580,Not Guilty,SENTENCE
CASE_00581,Murder,UPHELD
CASE_00582,Murder,UPHELD
CASE_00583,Murder,UNKNOWN
CASE_00584,Unknown,UNKNOWN
CASE_00585,Unknown,SENTENCE
CASE_00586,Murder,SENTENCE
CASE_00587,Murder,UNKNOWN
CASE_00588,Murder,REDUCED
CASE_00589,Murder,UPHELD
CASE_00590,Murder,SENTENCE
CASE_00591,Murder,UPHELD
CASE_00592,Murder,QUASHED
CASE_00593,Murder,QUASHED
CASE_00594,Unknown,UNKNOWN
CASE_00595,Murder,UPHELD
CASE_00596,Not Guilty,RETRIAL
CASE_00597,Murder,UPHELD
CASE_00598,Murder,UPHELD
CASE_00599,Murder,UPHELD
CASE_00600,Murder,QUASHED
CASE_00601,Manslaughter,SENTENCE
CASE_00602,Murder,UPHELD
CASE_00603,Murder,UPHELD
CASE_00604,Murder,QUASHED
CASE_00605,Murder,UPHELD
CASE_00606,Murder,UPHELD
CASE_00607,Murder,UPHELD
CASE_00608,Murder,UPHELD
CASE_00260,Unknown,SENTENCE
CASE_00264,Unknown,UNKNOWN
CASE_00269,Manslaughter,SENTENCE
CASE_00609,Murder,SENTENCE
CASE_00610,Murder,UPHELD
CASE_00611,Murder,UPHELD
CASE_00612,Murder,RETRIAL
CASE_00613,Murder,REDUCED
CASE_00614,Murder,UPHELD
CASE_00615,Murder,UPHELD
CASE_00616,Murder,UPHELD
CASE_00617,Unknown,SENTENCE
CASE_00618,Murder,QUASHED
CASE_00132,Unknown,UNKNOWN
CASE_00286,Unknown,UNKNOWN
CASE_00315,Unknown,UNKNOWN
CASE_00619,Murder,UPHELD
CASE_00620,Murder,UPHELD
CASE_00621,Unknown,UNKNOWN
CASE_00622,Murder,UNKNOWN
CASE_00623,Murder,UPHELD
CASE_00624,Murder,UPHELD
CASE_00625,Murder,QUASHED
CASE_00636,Not Guilty,UPHELD
CASE_00637,Manslaughter,UPHELD
CASE_00638,Murder,UNKNOWN
CASE_00270,Murder,UPHELD
CASE_00271,Murder,UPHELD
CASE_00273,Unknown,UNKNOWN
CASE_00626,Murder,UPHELD
CASE_00627,Murder,REDUCED
CASE_00628,Murder,SENTENCE
CASE_00629,Murder,UPHELD
CASE_00630,Murder,SENTENCE
CASE_00631,Murder,RETRIAL
CASE_00632,Murder,UPHELD
CASE_00633,Murder,UPHELD
CASE_00634,Murder,UPHELD
CASE_00635,Not Guilty,UPHELD
CASE_00639,Murder,RETRIAL
CASE_00640,Murder,REDUCED
CASE_00641,Murder,UPHELD
CASE_00642,Murder,UPHELD
CASE_00643,Murder,UPHELD
CASE_00644,Manslaughter,SENTENCE
CASE_00645,Manslaughter,UNKNOWN
CASE_00646,Manslaughter,SENTENCE
CASE_00647,Manslaughter,UPHELD
CASE_00648,Murder,RETRIAL
CASE_00649,Murder,UPHELD
CASE_00650,Murder,SENTENCE
CASE_00651,Murder,UPHELD
CASE_00652,Murder,UPHELD
CASE_00653,Murder,UNKNOWN
CASE_00654,Unknown,UNKNOWN
CASE_00655,Murder,UPHELD
CASE_00656,Murder,UPHELD
CASE_00657,Murder,UPHELD
CASE_00658,Murder,SENTENCE
CASE_00659,Manslaughter,SENTENCE
CASE_00660,Manslaughter,SENTENCE
CASE_00661,Murder,UPHELD
CASE_00662,Murder,RETRIAL
CASE_00663,Murder,SENTENCE
