cpt_node,parent_config_index,child_state_index,child_state_label,baseline_prob,best_multiplier,P_Murder_baseline,P_Murder_perturbed,max_abs_delta_P_Murder,row_type,n_perturbation_trials,mean_abs_delta_P_Murder
Verdict,3.0,1.0,Murder,0.7603894974786993,0.8,0.7312522346341669,0.7201228280365629,0.011129406597603975,cpt_entry,,
Verdict,3.0,2.0,Not_Guilty,0.08850634672230914,0.8,0.7312522346341669,0.7348008011151461,0.0035485664809792317,cpt_entry,,
Verdict,4.0,0.0,Manslaughter,0.15555555555555556,0.8,0.7312522346341669,0.7320589336668986,0.0008066990327316725,cpt_entry,,
Verdict,4.0,1.0,Murder,0.6404040404040404,0.8,0.7312522346341669,0.7291800017951545,0.0020722328390123668,cpt_entry,,
Verdict,4.0,2.0,Not_Guilty,0.20404040404040402,0.8,0.7312522346341669,0.7323210695904003,0.0010688349562334443,cpt_entry,,
Verdict,5.0,0.0,Manslaughter,0.24365781710914453,0.8,0.7312522346341669,0.7341942409836582,0.0029420063494912663,cpt_entry,,
Verdict,5.0,1.0,Murder,0.7250737463126844,0.8,0.7312522346341669,0.7275588551296851,0.0036933795044817863,cpt_entry,,
Verdict,5.0,2.0,Not_Guilty,0.03126843657817109,0.8,0.7312522346341669,0.7316136419839503,0.0003614073497834047,cpt_entry,,
Verdict,6.0,0.0,Manslaughter,0.2053333333333333,0.8,0.7312522346341669,0.7326240106335115,0.001371775999344571,cpt_entry,,
Verdict,6.0,1.0,Murder,0.7813333333333333,0.8,0.7312522346341669,0.7295919232886781,0.0016603113454888296,cpt_entry,,
Verdict,6.0,2.0,Not_Guilty,0.013333333333333332,0.8,0.7312522346341669,0.7313378813195902,8.564668542332399e-05,cpt_entry,,
Verdict,7.0,0.0,Manslaughter,0.2454583861427968,0.8,0.7312522346341669,0.7342075490605359,0.0029553144263689823,cpt_entry,,
Verdict,7.0,1.0,Murder,0.6915927334178286,0.8,0.7312522346341669,0.7271545142069425,0.004097720427224338,cpt_entry,,
Verdict,7.0,2.0,Not_Guilty,0.06294888043937474,0.8,0.7312522346341669,0.7319821203403517,0.0007298857061848185,cpt_entry,,
VoluntaryAct,0.0,0.0,0,0.18568102444703144,0.8,0.7312522346341669,0.7313051551134905,5.292047932359267e-05,cpt_entry,,
VoluntaryAct,0.0,1.0,1,0.8143189755529686,0.8,0.7312522346341669,0.731191366147936,6.086848623088059e-05,cpt_entry,,
DeathOfHumanBeing,,,,,,,,,node_mean_abs_delta,8.0,0.00016056945742293216
Defences,,,,,,,,,node_mean_abs_delta,32.0,0.0001772979307157578
DiminishedResponsibility,,,,,,,,,node_mean_abs_delta,8.0,8.732226121146991e-05
FactualCausation,,,,,,,,,node_mean_abs_delta,16.0,9.293833469330853e-05
IntentToCauseGBH,,,,,,,,,node_mean_abs_delta,8.0,8.615725181210232e-06
IntentToKill,,,,,,,,,node_mean_abs_delta,8.0,1.9725300515652244e-05
LegalCausation,,,,,,,,,node_mean_abs_delta,16.0,0.00026565446375948626
LossOfControl,,,,,,,,,node_mean_abs_delta,8.0,0.00015992376811271858
MaliceAforethought,,,,,,,,,node_mean_abs_delta,16.0,0.00035573177732872024
MensReaIntent,,,,,,,,,node_mean_abs_delta,32.0,3.003740076974043e-05
UnlawfulKilling,,,,,,,,,node_mean_abs_delta,64.0,0.00017006822573616825
Verdict,,,,,,,,,node_mean_abs_delta,96.0,0.0024581621446887344
